"2024-12-19","3","671","223.66666666666666","194.75","245.89"
"2024-11-24","3","1463.6399999999999","487.87999999999994","239.08","684.65"
"2025-06-23","2","622.04","311.02","199.7","422.34"
"2024-11-18","2","967.74","483.87","362.46","605.28"
"2024-06-11","2","646.59","323.295","306.29","340.3"
"2024-04-07","2","1024.18","512.09","508.59","515.59"
"2024-03-31","2","567.36","283.68","184.48","382.88"
"2023-12-12","2","498.25","249.125","132.68","365.57"
"2023-10-06","2","1198.84","599.42","534.91","663.93"
"2023-07-19","2","1196.57","598.285","505.79","690.78"
"2023-07-18","2","1017.22","508.61","373.17","644.05"
"2023-07-08","2","591.04","295.52","182.48","408.56"
"2023-04-23","2","1006.1","503.05","484.85","521.25"
"2023-04-08","2","396.16","198.08","331.42","64.74"
"2023-01-28","2","1093.1599999999999","546.5799999999999","438.89","654.27"
"2023-01-02","2","491.2","245.6","150.05","341.15"
"2025-06-24","1","368.25","368.25","368.25","368.25"
"2025-06-20","1","336.32","336.32","336.32","336.32"
"2025-06-18","1","578.28","578.28","578.28","578.28"
"2025-06-17","1","664.42","664.42","664.42","664.42"
"2025-06-13","1","372.6","372.6","372.6","372.6"
"2025-06-01","1","119.84","119.84","119.84","119.84"
"2025-05-30","1","492.9","492.9","492.9","492.9"
"2025-05-16","1","325.81","325.81","325.81","325.81"
"2025-05-10","1","464.29","464.29","464.29","464.29"
"2025-05-08","1","534.43","534.43","534.43","534.43"
"2025-05-07","1","364.14","364.14","364.14","364.14"
"2025-05-06","1","465.18","465.18","465.18","465.18"
"2025-05-03","1","41","41","41","41"
"2025-05-02","1","61.97","61.97","61.97","61.97"
"2025-04-26","1","300.56","300.56","300.56","300.56"
"2025-04-20","1","223.3","223.3","223.3","223.3"
"2025-04-16","1","521.4","521.4","521.4","521.4"
"2025-04-13","1","518.39","518.39","518.39","518.39"
"2025-03-23","1","693.07","693.07","693.07","693.07"
"2025-03-15","1","292.54","292.54","292.54","292.54"
"2025-03-12","1","233.7","233.7","233.7","233.7"
"2025-03-08","1","488.87","488.87","488.87","488.87"
"2025-03-07","1","132.05","132.05","132.05","132.05"
"2025-02-28","1","540.33","540.33","540.33","540.33"
